date,open,high,low,close,volume,turnover
2025-08-28,0.140,0.148,0.140,0.140,5700000,821070.000
2025-08-29,0.143,0.144,0.143,0.145,30000,4305.000
2025-09-01,0.154,0.161,0.148,0.157,5700000,879500.000
2025-09-02,0.162,0.162,0.162,0.168,500000,81000.000
2025-09-03,0.167,0.167,0.167,0.167,0,0
2025-09-04,0.171,0.182,0.171,0.181,70000,12575.000
2025-09-05,0.163,0.163,0.163,0.160,15000,2445.000
2025-09-08,0.172,0.172,0.172,0.172,0,0
2025-09-09,0.152,0.157,0.152,0.152,85000,13160.000
2025-09-10,0.136,0.138,0.136,0.141,60000,8215.000
2025-09-11,0.152,0.152,0.143,0.145,90000,13040.000
2025-09-12,0.136,0.142,0.133,0.135,1595000,220570.000
2025-09-15,0.135,0.135,0.135,0.128,10000,1350.000
2025-09-16,0.123,0.131,0.122,0.130,265000,32745.000
2025-09-17,0.127,0.127,0.114,0.116,1455000,173345.000
2025-09-18,0.117,0.125,0.113,0.125,445000,51800.000
2025-09-19,0.135,0.143,0.123,0.131,2265000,306325.000
2025-09-22,0.146,0.153,0.136,0.138,4875000,678710.000
2025-09-23,0.145,0.147,0.139,0.138,210000,30570.000
2025-09-24,0.135,0.139,0.118,0.122,405000,51900.000
2025-09-25,0.118,0.121,0.107,0.114,725000,84295.000
2025-09-26,0.123,0.126,0.123,0.128,45000,5595.000
2025-09-29,0.119,0.119,0.111,0.110,85000,9750.000
2025-09-30,0.108,0.110,0.084,0.088,1700000,152605.000
2025-10-02,0.074,0.074,0.064,0.066,202155000,13761860.000
2025-10-03,0.072,0.077,0.071,0.073,14850000,1085145.000
2025-10-06,0.076,0.078,0.075,0.076,1025000,78170.000
2025-10-08,0.082,0.086,0.082,0.083,600000,50695.000
2025-10-09,0.087,0.087,0.068,0.070,1090000,78780.000
2025-10-10,0.074,0.085,0.074,0.087,520000,42130.000
2025-10-13,0.096,0.113,0.096,0.107,475000,50800.000
2025-10-14,0.103,0.134,0.099,0.136,655000,81440.000
