date,open,high,low,close,volume,turnover
2025-07-23,0.142,0.142,0.141,0.141,20000,2830.000
2025-07-24,0.133,0.133,0.130,0.130,280000,36820.000
2025-07-25,0.131,0.131,0.119,0.123,1780000,223180.000
2025-07-28,0.128,0.128,0.128,0.129,300000,38400.000
2025-07-29,0.129,0.129,0.129,0.129,0,0
2025-07-30,0.133,0.138,0.133,0.147,1160000,156060.000
2025-07-31,0.156,0.167,0.152,0.162,7100000,1144900.000
2025-08-01,0.159,0.163,0.156,0.159,3240000,516830.000
2025-08-04,0.160,0.162,0.143,0.142,6480000,983480.000
2025-08-05,0.139,0.143,0.138,0.139,2620000,369600.000
2025-08-06,0.139,0.139,0.129,0.132,7750000,1053740.000
2025-08-07,0.128,0.132,0.127,0.129,12440000,1609780.000
2025-08-08,0.128,0.129,0.124,0.125,9980000,1268580.000
2025-08-11,0.117,0.121,0.110,0.116,11870000,1372040.000
2025-08-12,0.109,0.114,0.104,0.104,15690000,1723910.000
2025-08-13,0.109,0.111,0.100,0.100,15330000,1667340.000
2025-08-14,0.102,0.113,0.101,0.101,43540000,4647390.000
2025-08-15,0.115,0.128,0.100,0.100,44040000,5195450.000
2025-08-18,0.104,0.104,0.083,0.088,48450000,4614870.000
2025-08-19,0.085,0.091,0.077,0.084,31610000,2762930.000
2025-08-20,0.089,0.089,0.083,0.087,10520000,895120.000
2025-08-21,0.087,0.090,0.087,0.089,2710000,237850.000
2025-08-22,0.085,0.089,0.085,0.086,1850000,158350.000
2025-08-25,0.080,0.093,0.080,0.090,6320000,572540.000
2025-08-26,0.092,0.097,0.091,0.097,4500000,419700.000
2025-08-27,0.090,0.097,0.089,0.097,7070000,644120.000
2025-08-28,0.100,0.104,0.096,0.098,5000000,502050.000
2025-08-29,0.098,0.099,0.084,0.087,4320000,400290.000
2025-09-01,0.085,0.105,0.085,0.105,4140000,393000.000
2025-09-02,0.103,0.109,0.103,0.109,3150000,331040.000
2025-09-03,0.104,0.111,0.104,0.111,2440000,263110.000
2025-09-04,0.115,0.122,0.115,0.122,1800000,215140.000
2025-09-05,0.118,0.118,0.111,0.111,780000,89960.000
2025-09-08,0.113,0.119,0.113,0.117,3000000,350210.000
2025-09-09,0.111,0.112,0.097,0.101,11940000,1234490.000
2025-09-10,0.096,0.101,0.095,0.099,14460000,1424080.000
2025-09-11,0.104,0.105,0.102,0.103,3170000,329770.000
2025-09-12,0.105,0.109,0.105,0.109,5150000,547550.000
2025-09-15,0.111,0.111,0.104,0.107,21200000,2254050.000
2025-09-16,0.098,0.098,0.092,0.095,21860000,2092900.000
2025-09-17,0.084,0.087,0.081,0.087,23130000,1956560.000
2025-09-18,0.089,0.107,0.089,0.102,19940000,1872060.000
2025-09-19,0.100,0.104,0.096,0.097,22550000,2258410.000
2025-09-22,0.103,0.107,0.101,0.103,10400000,1088820.000
2025-09-23,0.098,0.114,0.098,0.114,8140000,846320.000
2025-09-24,0.114,0.116,0.112,0.115,8500000,965590.000
2025-09-25,0.109,0.111,0.107,0.109,1800000,196800.000
2025-09-26,0.108,0.114,0.106,0.116,10040000,1085540.000
2025-09-29,0.117,0.118,0.108,0.108,13140000,1491280.000
2025-09-30,0.100,0.102,0.091,0.091,24120000,2313320.000
2025-10-02,0.085,0.088,0.084,0.087,9420000,807300.000
2025-10-03,0.086,0.095,0.086,0.091,23400000,2153650.000
2025-10-06,0.093,0.098,0.093,0.097,9380000,904260.000
2025-10-08,0.089,0.094,0.084,0.087,17020000,1491240.000
2025-10-09,0.084,0.093,0.084,0.085,17400000,1554850.000
2025-10-10,0.095,0.098,0.091,0.096,800000,75950.000
2025-10-13,0.102,0.110,0.099,0.100,19400000,2026500.000
2025-10-14,0.107,0.107,0.107,0.107,0,0
2025-10-15,0.099,0.099,0.090,0.099,23250000,2178450.000
2025-10-16,0.095,0.099,0.090,0.096,19970000,1883780.000
2025-10-17,0.102,0.114,0.101,0.113,14020000,1450230.000
2025-10-20,0.105,0.105,0.091,0.094,17260000,1703340.000
2025-10-21,0.088,0.088,0.083,0.085,21150000,1791140.000
2025-10-22,0.091,0.093,0.086,0.088,23660000,2123860.000
2025-10-23,0.091,0.099,0.090,0.090,17400000,1627750.000
2025-10-24,0.079,0.089,0.079,0.088,19430000,1673750.000
2025-10-27,0.087,0.093,0.087,0.093,22750000,2056250.000
2025-10-28,0.094,0.097,0.092,0.098,15100000,1421050.000
2025-10-30,0.092,0.098,0.091,0.099,23900000,2240500.000
2025-10-31,0.101,0.105,0.101,0.104,9600000,992400.000
2025-11-03,0.111,0.122,0.111,0.116,32540000,3778620.000
2025-11-04,0.119,0.126,0.115,0.119,19590000,2390120.000
2025-11-05,0.126,0.127,0.123,0.122,11120000,1393160.000
2025-11-06,0.119,0.119,0.109,0.113,10800000,1236900.000
2025-11-07,0.112,0.117,0.110,0.116,4860000,549690.000
2025-11-10,0.115,0.120,0.109,0.109,7560000,874440.000
2025-11-11,0.102,0.108,0.098,0.106,9900000,1029250.000
2025-11-12,0.103,0.112,0.100,0.114,8500000,886600.000
2025-11-13,0.120,0.120,0.114,0.113,7100000,834600.000
2025-11-14,0.111,0.116,0.109,0.115,8800000,977100.000
2025-11-17,0.116,0.123,0.116,0.123,11120000,1328550.000
2025-11-18,0.126,0.131,0.118,0.129,16940000,2102910.000
2025-11-19,0.120,0.124,0.118,0.126,6400000,779590.000
2025-11-20,0.123,0.129,0.123,0.127,8940000,1125120.000
2025-11-21,0.138,0.139,0.129,0.133,12500000,1665880.000
2025-11-24,0.134,0.140,0.131,0.131,12540000,1711130.000
2025-11-25,0.123,0.131,0.123,0.128,8700000,1100350.000
2025-11-26,0.124,0.124,0.122,0.125,8400000,1037000.000
2025-11-27,0.125,0.125,0.117,0.120,6300000,759600.000
2025-11-28,0.121,0.122,0.116,0.116,7100000,848150.000
2025-12-01,0.113,0.113,0.108,0.114,12830000,1422840.000
2025-12-02,0.111,0.113,0.107,0.108,6960000,771750.000
2025-12-03,0.108,0.113,0.108,0.112,2060000,228510.000
2025-12-04,0.113,0.116,0.100,0.099,4560000,507060.000
2025-12-05,0.101,0.101,0.097,0.097,250000,25120.000
2025-12-08,0.091,0.092,0.085,0.089,13000000,1157800.000
2025-12-09,0.083,0.093,0.083,0.092,6600000,576300.000
2025-12-10,0.091,0.091,0.085,0.092,6000000,524150.000
2025-12-11,0.093,0.098,0.092,0.098,3580000,336390.000
2025-12-12,0.098,0.099,0.088,0.087,4890000,461380.000
2025-12-15,0.086,0.096,0.085,0.096,3030000,265280.000
2025-12-16,0.100,0.108,0.100,0.107,4440000,457720.000
2025-12-17,0.109,0.110,0.106,0.111,4800000,516750.000
2025-12-18,0.115,0.115,0.108,0.105,3680000,410900.000
2025-12-19,0.107,0.107,0.096,0.098,8240000,848320.000
2025-12-22,0.094,0.102,0.092,0.102,9620000,901700.000
2025-12-23,0.096,0.102,0.096,0.101,9300000,922500.000
2025-12-24,0.101,0.101,0.101,0.101,0,0
2025-12-29,0.079,0.082,0.076,0.085,9200000,724200.000
2025-12-30,0.081,0.081,0.074,0.073,13660000,1045670.000
2025-12-31,0.063,0.074,0.063,0.074,2780000,186820.000
2026-01-02,0.071,0.071,0.067,0.071,6100000,421850.000
2026-01-05,0.080,0.082,0.077,0.082,11410000,908870.000
2026-01-06,0.079,0.080,0.076,0.076,9200000,721050.000
2026-01-07,0.084,0.085,0.080,0.084,8360000,689700.000
2026-01-08,0.089,0.090,0.088,0.086,4190000,374480.000
2026-01-09,0.086,0.088,0.086,0.087,2090000,182130.000
2026-01-12,0.094,0.100,0.093,0.093,9500000,926280.000
2026-01-13,0.083,0.088,0.081,0.085,5820000,487480.000
2026-01-14,0.084,0.084,0.080,0.087,7200000,596400.000
2026-01-15,0.083,0.085,0.076,0.080,7000000,563150.000
2026-01-16,0.075,0.080,0.074,0.082,6300000,481300.000
2026-01-19,0.085,0.087,0.081,0.084,9900000,838400.000
2026-01-20,0.088,0.090,0.087,0.089,8400000,740600.000
2026-01-21,0.090,0.092,0.089,0.090,2950000,268300.000
2026-01-22,0.080,0.093,0.080,0.090,4150000,357450.000
2026-01-23,0.083,0.084,0.080,0.083,5500000,448750.000
2026-01-26,0.089,0.095,0.089,0.089,6000000,548600.000
2026-01-27,0.089,0.091,0.088,0.091,2400000,214000.000
2026-01-28,0.095,0.097,0.091,0.087,8420000,798640.000
2026-01-29,0.090,0.091,0.084,0.085,3600000,319000.000
2026-01-30,0.090,0.104,0.090,0.103,5200000,505600.000
2026-02-02,0.112,0.120,0.112,0.113,6120000,711440.000
2026-02-03,0.118,0.120,0.110,0.113,6400000,735600.000
2026-02-04,0.113,0.113,0.106,0.109,7240000,803840.000
2026-02-05,0.106,0.106,0.099,0.103,8800000,908800.000
2026-02-06,0.100,0.104,0.096,0.096,8800000,891800.000
