date,open,high,low,close,volume,turnover
2025-09-02,0.173,0.176,0.162,0.164,9430000,1599650.000
2025-09-03,0.166,0.167,0.160,0.162,9020000,1469330.000
2025-09-04,0.166,0.169,0.162,0.166,16860000,2781330.000
2025-09-05,0.164,0.168,0.158,0.168,10960000,1793910.000
2025-09-08,0.170,0.173,0.164,0.172,12680000,2141110.000
2025-09-09,0.175,0.190,0.172,0.179,36500000,6679030.000
2025-09-10,0.177,0.185,0.176,0.177,34650000,6271460.000
2025-09-11,0.171,0.171,0.160,0.168,23900000,3921020.000
2025-09-12,0.170,0.171,0.158,0.161,33930000,5545640.000
2025-09-15,0.156,0.164,0.155,0.165,17850000,2856520.000
2025-09-16,0.165,0.183,0.165,0.174,46920000,8270860.000
2025-09-17,0.177,0.180,0.167,0.177,23530000,4132590.000
2025-09-18,0.169,0.170,0.156,0.159,44930000,7354480.000
2025-09-19,0.176,0.193,0.171,0.173,67530000,12155770.000
2025-09-22,0.142,0.159,0.140,0.151,105870000,15941260.000
2025-09-23,0.153,0.153,0.137,0.139,43890000,6387730.000
2025-09-24,0.139,0.145,0.138,0.141,93830000,13233640.000
2025-09-25,0.141,0.152,0.130,0.131,55640000,7849220.000
2025-09-26,0.128,0.128,0.114,0.120,68260000,8272860.000
2025-09-29,0.127,0.134,0.119,0.118,58600000,7443570.000
2025-09-30,0.121,0.128,0.117,0.122,36660000,4440370.000
2025-10-02,0.112,0.118,0.110,0.118,30690000,3538470.000
2025-10-03,0.113,0.114,0.111,0.113,19980000,2242690.000
2025-10-06,0.109,0.109,0.105,0.105,21090000,2243340.000
2025-10-08,0.101,0.101,0.092,0.093,33820000,3268710.000
2025-10-09,0.098,0.099,0.091,0.093,35340000,3344150.000
2025-10-10,0.088,0.092,0.080,0.081,42480000,3681650.000
2025-10-13,0.060,0.071,0.043,0.071,45940000,3062560.000
2025-10-14,0.071,0.071,0.061,0.062,63710000,4153820.000
2025-10-15,0.059,0.070,0.059,0.069,24880000,1531870.000
2025-10-16,0.071,0.075,0.063,0.064,48850000,3468390.000
2025-10-17,0.062,0.066,0.058,0.058,18450000,1151340.000
2025-10-20,0.062,0.063,0.060,0.061,5460000,336620.000
2025-10-21,0.064,0.072,0.064,0.069,7780000,538840.000
2025-10-22,0.067,0.070,0.067,0.069,4380000,298720.000
2025-10-23,0.070,0.070,0.070,0.070,220000,15400.000
2025-10-24,0.072,0.074,0.070,0.070,1070000,77450.000
2025-10-27,0.065,0.069,0.065,0.068,1060000,69860.000
2025-10-28,0.058,0.059,0.051,0.051,4780000,258200.000
2025-10-30,0.051,0.051,0.041,0.044,9730000,416950.000
2025-10-31,0.042,0.044,0.038,0.038,2370000,96880.000
2025-11-03,0.036,0.036,0.033,0.033,950000,31860.000
2025-11-04,0.030,0.030,0.028,0.028,30000,880.000
2025-11-05,0.026,0.026,0.025,0.026,4150000,106830.000
2025-11-06,0.025,0.025,0.025,0.025,60000,1500.000
2025-11-07,0.020,0.020,0.020,0.020,120000,2400.000
2025-11-10,0.022,0.022,0.022,0.025,50000,1100.000
2025-11-11,0.024,0.024,0.024,0.024,0,0
2025-11-12,0.024,0.024,0.024,0.024,20000,480.000
2025-11-13,0.026,0.027,0.026,0.027,100000,2680.000
2025-11-14,0.024,0.024,0.024,0.024,0,0
2025-11-17,0.020,0.020,0.020,0.020,20000,400.000
2025-11-18,0.019,0.019,0.019,0.018,10000,190.000
2025-11-19,0.021,0.021,0.018,0.018,40000,750.000
2025-11-20,0.021,0.024,0.020,0.024,3530000,72390.000
2025-11-21,0.021,0.021,0.021,0.021,270000,5670.000
2025-11-24,0.019,0.020,0.019,0.020,40000,790.000
2025-11-25,0.021,0.021,0.021,0.021,40000,840.000
2025-11-26,0.024,0.024,0.024,0.024,0,0
2025-11-27,0.024,0.024,0.024,0.026,10000,240.000
2025-11-28,0.025,0.025,0.025,0.025,0,0
2025-12-01,0.022,0.022,0.022,0.022,0,0
2025-12-02,0.024,0.025,0.024,0.025,210000,5050.000
2025-12-03,0.022,0.022,0.022,0.022,0,0
2025-12-04,0.019,0.019,0.019,0.019,670000,12730.000
2025-12-05,0.018,0.018,0.018,0.018,60000,1080.000
2025-12-08,0.016,0.016,0.015,0.015,100000,1570.000
2025-12-09,0.013,0.013,0.013,0.013,80000,1040.000
2025-12-10,0.013,0.013,0.013,0.013,50000,650.000
2025-12-11,0.013,0.013,0.013,0.013,300000,3900.000
2025-12-12,0.013,0.013,0.013,0.013,0,0
2025-12-15,0.013,0.014,0.013,0.014,340000,4720.000
2025-12-16,0.014,0.014,0.014,0.014,0,0
2025-12-17,0.014,0.014,0.014,0.014,0,0
2025-12-18,0.012,0.012,0.012,0.012,60000,720.000
2025-12-19,0.012,0.012,0.012,0.012,0,0
2025-12-22,0.011,0.011,0.011,0.011,200000,2300.000
2025-12-23,0.011,0.011,0.011,0.011,0,0
2025-12-24,0.011,0.011,0.011,0.011,0,0
2025-12-29,0.011,0.011,0.011,0.011,190000,2090.000
2025-12-30,0.011,0.011,0.011,0.011,0,0
2025-12-31,0.011,0.011,0.011,0.011,0,0
2026-01-02,0.011,0.011,0.011,0.011,0,0
2026-01-05,0.010,0.010,0.010,0.010,30000,300.000
2026-01-06,0.010,0.010,0.010,0.010,0,0
2026-01-07,0.010,0.010,0.010,0.010,0,0
2026-01-08,0.010,0.010,0.010,0.010,0,0
2026-01-09,0.010,0.010,0.010,0.010,100000,1000.000
2026-01-12,0.010,0.010,0.010,0.010,0,0
2026-01-13,0.011,0.011,0.011,0.011,190000,2090.000
2026-01-14,0.010,0.010,0.010,0.010,200000,2000.000
2026-01-15,0.010,0.010,0.010,0.010,0,0
2026-01-16,0.010,0.010,0.010,0.010,0,0
2026-01-19,0.010,0.010,0.010,0.010,0,0
2026-01-20,0.010,0.010,0.010,0.010,0,0
2026-01-21,0.010,0.010,0.010,0.010,0,0
2026-01-22,0.010,0.010,0.010,0.010,0,0
2026-01-23,0.010,0.010,0.010,0.010,0,0
2026-01-26,0.010,0.010,0.010,0.010,0,0
2026-01-27,0.010,0.010,0.010,0.010,0,0
2026-01-28,0.010,0.010,0.010,0.010,0,0
2026-01-29,0.010,0.010,0.010,0.010,0,0
2026-01-30,0.010,0.010,0.010,0.010,0,0
2026-02-02,0.010,0.010,0.010,0.010,0,0
2026-02-03,0.010,0.010,0.010,0.010,0,0
2026-02-04,0.010,0.010,0.010,0.010,0,0
2026-02-05,0.010,0.010,0.010,0.010,0,0
2026-02-06,0.010,0.010,0.010,0.010,0,0
