date,open,high,low,close,volume,turnover
2015-11-09,9.140,9.673,9.140,9.278,145190903,0
2015-11-10,9.239,10.126,9.219,9.831,57909631,0
2015-11-11,9.929,10.343,9.811,10.008,28150420,0
2015-11-12,10.008,10.126,9.752,9.949,17478857,0
2015-11-13,9.752,9.949,9.574,9.594,9744002,0
2015-11-16,9.239,9.495,9.239,9.456,14517579,0
2015-11-17,9.614,9.988,9.495,9.515,8049322,0
2015-11-18,9.535,9.692,9.456,9.476,4061065,0
2015-11-19,9.633,10.146,9.535,9.969,9479077,0
2015-11-20,10.047,10.047,9.831,9.850,6504924,0
2015-11-23,9.831,10.028,9.653,9.712,4359196,0
2015-11-24,9.752,9.791,9.594,9.712,4294094,0
2015-11-25,9.712,9.969,9.594,9.771,3216159,0
2015-11-26,9.811,9.909,9.574,9.653,3885229,0
2015-11-27,9.633,9.633,9.318,9.377,6651759,0
2015-11-30,9.436,9.614,9.337,9.377,5053414,0
2015-12-01,9.456,9.633,9.416,9.495,4618387,0
2015-12-02,9.535,9.850,9.535,9.732,9663320,0
2015-12-03,9.712,9.811,9.574,9.594,1644342,0
2015-12-04,9.456,9.594,9.416,9.515,1829345,0
2015-12-07,9.673,9.673,9.318,9.416,2297430,0
2015-12-08,9.337,9.416,9.239,9.278,4352706,0
2015-12-09,9.239,9.397,9.160,9.318,3426676,0
2015-12-10,9.239,9.377,9.199,9.219,5022181,0
2015-12-11,9.219,9.278,8.844,9.259,9137803,0
2015-12-14,9.101,9.416,8.923,9.337,4974927,0
2015-12-15,9.377,9.515,9.219,9.377,2050408,0
2015-12-16,9.476,9.633,9.436,9.515,5432466,0
2015-12-17,9.633,9.988,9.416,9.890,7950554,0
2015-12-18,9.831,10.580,9.574,10.126,13132377,0
2015-12-21,10.107,10.896,10.008,10.718,9658416,0
2015-12-22,10.718,11.053,10.402,10.521,4547173,0
2015-12-23,10.521,11.034,10.402,10.757,6072128,0
2015-12-24,10.817,10.896,10.718,10.797,2455216,0
2015-12-28,10.718,11.014,10.718,10.896,2894908,0
2015-12-29,10.935,11.093,10.600,10.718,2473875,0
2015-12-30,10.718,10.876,10.619,10.876,2009613,0
2015-12-31,10.915,11.211,10.757,10.836,3291459,0
2016-01-04,10.738,10.836,9.831,10.225,7745716,0
2016-01-05,10.028,10.245,9.633,10.008,4215659,0
2016-01-06,9.988,10.087,9.712,9.831,2282017,0
2016-01-07,9.732,9.791,9.061,9.318,6873686,0
2016-01-08,9.416,9.633,9.180,9.574,3633136,0
2016-01-11,9.278,9.476,8.963,9.101,2796050,0
2016-01-12,9.160,9.318,8.706,8.904,3671670,0
2016-01-13,8.982,9.239,8.746,8.864,1734024,0
2016-01-14,8.746,9.042,8.549,8.982,5498987,0
2016-01-15,9.042,9.121,8.746,8.825,2791069,0
2016-01-18,8.647,9.081,8.568,8.943,2654781,0
2016-01-19,8.943,9.495,8.943,9.298,4354734,0
2016-01-20,9.140,9.278,8.805,8.943,2531270,0
2016-01-21,9.042,9.160,8.253,8.549,4939435,0
2016-01-22,8.825,8.943,8.549,8.864,1491058,0
2016-01-25,8.943,9.140,8.647,8.687,1703240,0
2016-01-26,8.549,8.687,8.144,8.213,3200745,0
2016-01-27,8.332,8.529,7.888,8.125,4788341,0
2016-01-28,8.065,8.371,8.036,8.253,5277113,0
2016-01-29,8.203,8.825,8.203,8.805,2363141,0
2016-02-01,8.864,8.923,8.233,8.351,3598659,0
2016-02-02,8.332,8.667,8.253,8.509,2954129,0
2016-02-03,8.371,8.371,8.095,8.105,3482330,0
2016-02-04,8.243,8.430,8.154,8.312,2058926,0
2016-02-05,8.450,8.608,8.273,8.351,1120562,0
2016-02-11,7.779,8.125,7.779,8.026,1137763,0
2016-02-12,7.937,8.016,7.878,7.908,907371,0
2016-02-15,8.036,8.391,8.036,8.351,1492316,0
2016-02-16,8.470,8.608,8.253,8.332,2520927,0
2016-02-17,8.391,8.391,8.016,8.026,3855416,0
2016-02-18,8.253,8.509,8.233,8.509,2728198,0
2016-02-19,8.529,8.529,8.351,8.450,879789,0
2016-02-22,8.529,8.647,8.450,8.549,1415207,0
2016-02-23,8.687,8.687,8.273,8.332,2425200,0
2016-02-24,8.253,8.351,8.085,8.134,2928980,0
2016-02-25,8.203,8.351,8.085,8.115,1929533,0
2016-02-26,8.292,8.312,8.154,8.253,900881,0
2016-02-29,8.312,8.312,7.908,7.987,513109,0
2016-03-01,8.095,8.154,7.908,8.056,868026,0
2016-03-02,8.233,8.529,8.203,8.509,2259302,0
2016-03-03,8.450,8.529,8.273,8.430,1032386,0
2016-03-04,8.430,8.746,8.430,8.667,2294185,0
2016-03-07,8.687,9.318,8.687,8.943,3923763,0
2016-03-08,8.943,8.943,8.549,8.904,1108153,0
2016-03-09,8.647,8.766,8.450,8.549,1917770,0
2016-03-10,8.687,8.687,8.391,8.430,901084,0
2016-03-11,8.509,8.647,8.411,8.608,1313889,0
2016-03-14,8.647,8.923,8.549,8.884,2200081,0
2016-03-15,8.766,9.101,8.766,9.042,4263230,0
2016-03-16,9.042,9.140,8.805,8.982,935808,0
2016-03-17,9.061,9.416,9.042,9.377,3712680,0
2016-03-18,9.337,9.653,9.278,9.633,1585213,0
2016-03-21,9.732,10.126,9.633,9.988,6956785,0
2016-03-22,9.929,10.107,9.732,10.008,3381421,0
2016-03-23,9.909,10.225,9.732,10.126,2530053,0
2016-03-24,9.909,10.126,9.239,9.633,4071611,0
2016-03-29,9.732,9.929,9.377,9.712,1090711,0
2016-03-30,9.811,10.008,9.811,9.929,3980816,0
2016-03-31,9.949,10.166,9.712,10.008,2131760,0
2016-04-01,9.909,9.949,9.712,9.752,1145470,0
2016-04-05,9.614,9.712,9.436,9.614,855046,0
2016-04-06,9.535,9.692,9.436,9.614,854235,0
2016-04-07,9.633,9.712,9.495,9.594,852207,0
2016-04-08,9.337,9.574,9.239,9.416,1466721,0
2016-04-11,9.298,9.594,9.298,9.476,2767949,0
2016-04-12,9.476,10.028,9.476,9.909,5076006,0
2016-04-13,9.949,10.462,9.949,10.324,9513575,0
2016-04-14,10.521,11.014,10.501,10.876,6364986,0
2016-04-15,10.915,11.132,10.481,10.757,5032950,0
2016-04-18,10.738,10.738,10.343,10.738,1286220,0
2016-04-19,10.974,11.073,10.836,11.014,3057156,0
2016-04-20,11.093,11.803,10.974,11.270,10621357,0
2016-04-21,11.290,11.546,11.112,11.389,2814190,0
2016-04-22,11.408,11.546,11.251,11.467,2531067,0
2016-04-25,11.467,11.803,11.093,11.152,2290535,0
2016-04-26,11.073,11.290,10.521,10.836,2653159,0
2016-04-27,10.797,11.053,10.639,10.955,1532026,0
2016-04-28,10.935,11.112,10.580,10.580,3359343,0
2016-04-29,10.580,10.580,10.264,10.402,3075003,0
2016-05-03,10.166,10.462,10.146,10.284,3017044,0
2016-05-04,10.146,10.718,10.107,10.541,1814337,0
2016-05-05,10.343,10.619,10.324,10.462,1431837,0
2016-05-06,10.402,10.402,9.791,9.909,4658543,0
2016-05-09,9.969,10.008,9.653,9.831,2963052,0
2016-05-10,9.752,10.008,9.633,9.831,8870905,0
2016-05-11,9.870,9.929,9.515,9.614,7114208,0
2016-05-12,9.614,9.752,9.515,9.653,7304401,0
2016-05-13,9.732,9.949,9.633,9.752,10110479,0
2016-05-16,9.791,10.304,9.791,10.047,6771620,0
2016-05-17,9.831,10.205,9.831,10.126,3134224,0
2016-05-18,10.047,10.146,9.988,10.126,2675392,0
2016-05-19,10.047,10.205,9.870,9.870,722003,0
2016-05-20,9.850,10.166,9.850,10.126,2552565,0
2016-05-23,10.126,10.422,10.008,10.028,7000186,0
2016-05-24,9.909,10.107,9.850,9.969,7921349,0
2016-05-25,10.146,10.245,9.969,10.047,2133357,0
2016-05-26,10.146,10.186,10.047,10.126,1311774,0
2016-05-27,10.047,10.383,9.929,10.264,1883063,0
2016-05-30,10.186,10.324,10.087,10.087,3440467,0
2016-05-31,10.126,10.501,10.107,10.264,6392414,0
2016-06-01,10.284,10.343,10.225,10.324,14586899,0
2016-06-02,10.422,10.462,10.264,10.422,4549431,0
2016-06-03,10.422,10.659,10.402,10.481,6430088,0
2016-06-06,10.422,10.462,10.245,10.442,2195214,0
2016-06-07,10.541,10.580,10.422,10.541,2892474,0
