date,open,high,low,close,volume,turnover
2025-07-03,0.132,0.132,0.130,0.118,20000,2620.000
2025-07-04,0.115,0.115,0.115,0.115,0,0
2025-07-07,0.110,0.110,0.110,0.110,0,0
2025-07-08,0.118,0.118,0.118,0.118,0,0
2025-07-09,0.108,0.108,0.108,0.108,0,0
2025-07-10,0.101,0.101,0.101,0.101,0,0
2025-07-11,0.103,0.103,0.103,0.103,0,0
2025-07-14,0.103,0.103,0.103,0.103,0,0
2025-07-15,0.103,0.103,0.103,0.103,0,0
2025-07-16,0.100,0.100,0.100,0.100,0,0
2025-07-17,0.096,0.096,0.089,0.090,481520000,45478020.000
2025-07-18,0.091,0.096,0.090,0.096,403350000,37253750.000
2025-07-21,0.098,0.108,0.095,0.103,241590000,23518910.000
2025-07-22,0.103,0.104,0.100,0.101,444370000,45483960.000
2025-07-23,0.101,0.110,0.101,0.109,211430000,21503380.000
2025-07-24,0.111,0.112,0.108,0.108,200370000,22200620.000
2025-07-25,0.101,0.101,0.096,0.098,403590000,40071050.000
2025-07-28,0.098,0.098,0.093,0.094,363370000,34756200.000
2025-07-29,0.088,0.089,0.078,0.084,377320000,31817890.000
2025-07-30,0.078,0.084,0.077,0.077,535760000,43180020.000
2025-07-31,0.075,0.075,0.066,0.067,4410000,304590.000
2025-08-01,0.066,0.074,0.065,0.071,2320000,160780.000
2025-08-04,0.073,0.075,0.073,0.074,1630000,120480.000
2025-08-05,0.074,0.074,0.068,0.068,1710000,121070.000
2025-08-06,0.066,0.068,0.066,0.066,1840000,122690.000
2025-08-07,0.055,0.055,0.051,0.052,3280000,172940.000
2025-08-08,0.049,0.050,0.046,0.046,15150000,738850.000
2025-08-11,0.045,0.045,0.042,0.043,7810000,330170.000
2025-08-12,0.042,0.049,0.042,0.049,900000,42410.000
2025-08-13,0.052,0.056,0.052,0.055,960000,52620.000
2025-08-14,0.057,0.058,0.055,0.055,600000,33920.000
2025-08-15,0.053,0.053,0.051,0.053,60000,3110.000
2025-08-18,0.052,0.059,0.052,0.056,340000,19090.000
2025-08-19,0.051,0.051,0.051,0.051,1480000,75480.000
2025-08-20,0.051,0.051,0.051,0.051,20000,1020.000
2025-08-21,0.050,0.050,0.046,0.046,1410000,70020.000
2025-08-22,0.049,0.051,0.048,0.051,650000,32780.000
2025-08-25,0.054,0.062,0.054,0.062,4990000,290520.000
2025-08-26,0.062,0.066,0.062,0.065,690000,44420.000
2025-08-27,0.073,0.074,0.061,0.061,725630000,51944010.000
2025-08-28,0.060,0.064,0.057,0.062,402190000,24315040.000
2025-08-29,0.060,0.065,0.059,0.060,473160000,28584970.000
2025-09-01,0.067,0.068,0.064,0.064,213380000,14162120.000
2025-09-02,0.064,0.081,0.062,0.076,510070000,32632580.000
2025-09-03,0.081,0.082,0.061,0.062,682470000,52981320.000
2025-09-04,0.060,0.060,0.054,0.054,1230000,69410.000
2025-09-05,0.053,0.055,0.052,0.054,1950000,103340.000
2025-09-08,0.056,0.058,0.055,0.058,4070000,233850.000
2025-09-09,0.060,0.063,0.058,0.062,11970000,729160.000
2025-09-10,0.062,0.062,0.054,0.054,6770000,386940.000
2025-09-11,0.053,0.054,0.047,0.053,3400000,169080.000
2025-09-12,0.057,0.058,0.051,0.056,5930000,322100.000
2025-09-15,0.058,0.062,0.057,0.061,1240000,74230.000
2025-09-16,0.063,0.065,0.060,0.062,5040000,317220.000
2025-09-17,0.065,0.075,0.064,0.075,17480000,1207060.000
2025-09-18,0.076,0.078,0.061,0.065,3230000,220040.000
2025-09-19,0.060,0.063,0.059,0.063,2080000,128630.000
2025-09-22,0.063,0.063,0.061,0.061,2640000,161200.000
2025-09-23,0.061,0.061,0.056,0.060,3240000,190850.000
2025-09-24,0.065,0.070,0.065,0.071,1380000,92830.000
2025-09-25,0.075,0.100,0.075,0.090,14090000,1249410.000
2025-09-26,0.082,0.082,0.066,0.069,3400000,225440.000
2025-09-29,0.071,0.074,0.060,0.070,476940000,34145800.000
2025-09-30,0.072,0.073,0.067,0.071,738020000,52063620.000
2025-10-02,0.077,0.084,0.073,0.079,406880000,31169410.000
2025-10-03,0.079,0.079,0.071,0.073,530620000,40222000.000
2025-10-06,0.067,0.067,0.059,0.059,565350000,37168470.000
2025-10-08,0.056,0.058,0.053,0.057,612140000,34124810.000
2025-10-09,0.057,0.057,0.050,0.051,730700000,37774060.000
2025-10-10,0.046,0.047,0.039,0.040,16300000,710680.000
2025-10-13,0.030,0.036,0.026,0.030,2870000,84330.000
2025-10-14,0.030,0.031,0.024,0.026,7700000,222280.000
2025-10-15,0.028,0.029,0.026,0.027,560000,14820.000
2025-10-16,0.025,0.025,0.021,0.022,3680000,83420.000
2025-10-17,0.019,0.020,0.017,0.017,640000,12120.000
2025-10-20,0.020,0.020,0.020,0.020,60000,1200.000
2025-10-21,0.021,0.022,0.018,0.018,7550000,156930.000
2025-10-22,0.017,0.019,0.017,0.019,2510000,46690.000
2025-10-23,0.020,0.020,0.020,0.020,40000,800.000
2025-10-24,0.017,0.018,0.017,0.018,270000,4710.000
2025-10-27,0.016,0.016,0.016,0.017,270000,4250.000
2025-10-28,0.017,0.017,0.017,0.017,130000,2210.000
2025-10-30,0.014,0.014,0.014,0.014,660000,9450.000
2025-10-31,0.013,0.013,0.013,0.013,460000,5980.000
2025-11-03,0.014,0.016,0.014,0.016,550000,8160.000
2025-11-04,0.012,0.012,0.012,0.012,2080000,27570.000
2025-11-05,0.012,0.013,0.012,0.012,720000,8700.000
2025-11-06,0.012,0.012,0.011,0.011,840000,10020.000
2025-11-07,0.011,0.012,0.010,0.013,1180000,12950.000
2025-11-10,0.011,0.011,0.011,0.011,180000,1980.000
